N,P,K,temperature,humidity,ph,rainfall,label
13.94,143.38,203.98,22.04,92.42,5.84,121.32,apple
22.74,145.21,205.76,26.42,80.67,6.03,64.02,grapes
10.01,17.47,36.13,33.07,47.22,5.21,92.07,mango
25.35,29.24,30.96,26.39,94.84,5.77,193.65,coconut
28.57,61.24,24.61,19.5,60.08,6.07,37.17,lentil
18.66,46.16,15.9,25.42,83.39,6.72,51.45,mungbean
97.7,32.08,47.7,27.29,92.79,6.47,38.68,muskmelon
39.76,27.32,29.16,27.8,95.56,6.03,167.57,coconut
17.87,20.04,12.47,31.39,91.7,7.03,101.96,orange
95.16,13.87,47.02,27.54,90.02,6.14,29.72,muskmelon
18.0,11.44,7.93,16.68,91.17,7.33,119.48,orange
35.31,63.43,20.04,27.63,34.27,5.68,157.02,pigeonpeas
11.23,142.06,196.29,23.42,92.0,5.84,113.09,apple
20.42,69.53,83.44,20.32,14.22,7.18,65.64,chickpea
37.51,58.52,24.76,32.68,65.19,6.68,63.74,blackgram
81.76,22.53,29.66,26.41,68.81,6.15,143.52,coffee
24.01,62.22,19.69,24.55,18.37,5.33,118.89,kidneybeans
26.96,10.94,33.44,26.65,99.75,5.93,167.49,coconut
41.66,62.6,76.89,19.06,21.09,8.38,97.27,chickpea
30.12,49.22,17.46,25.54,54.62,5.61,35.22,mothbeans
22.31,52.7,20.42,25.03,60.24,7.31,56.91,mothbeans
26.33,143.32,204.59,24.44,82.04,5.81,70.52,grapes
45.85,70.09,81.14,17.58,14.24,7.82,74.85,chickpea
15.54,24.41,7.27,22.91,93.24,6.46,101.39,orange
17.97,60.52,23.54,23.02,68.18,7.66,43.04,lentil
36.14,58.41,19.24,31.9,63.26,7.75,55.69,blackgram
115.75,90.61,53.61,27.31,79.14,6.72,109.47,banana
14.79,19.65,26.32,26.88,98.57,6.1,187.99,coconut
28.14,27.66,11.39,16.77,93.76,6.49,107.3,orange
66.62,46.19,39.49,20.62,80.82,6.54,268.58,rice
25.49,51.43,16.2,28.16,82.01,7.09,49.67,mungbean
33.94,26.19,23.84,27.57,96.35,5.52,133.28,coconut
10.91,135.53,203.13,11.08,78.45,6.26,69.29,grapes
32.41,34.79,21.38,33.16,51.61,6.09,69.79,mothbeans
27.83,23.43,34.62,25.62,100.0,6.07,178.32,coconut
10.82,76.97,16.62,23.54,24.17,5.76,116.28,kidneybeans
35.54,19.05,27.46,31.0,94.4,5.74,226.26,coconut
37.69,52.18,18.12,29.21,47.3,8.07,37.79,mothbeans
85.16,83.09,43.79,26.11,81.34,5.94,97.01,banana
13.25,28.75,11.69,21.02,92.23,5.95,106.26,orange
103.78,23.5,49.55,24.87,82.66,6.12,40.61,watermelon
111.02,21.04,28.83,25.64,64.58,6.88,145.59,coffee
55.8,54.52,19.1,26.99,64.19,7.11,70.71,blackgram
91.96,19.38,47.46,27.58,89.23,6.63,31.02,muskmelon
105.27,29.74,30.35,26.61,53.63,6.82,124.07,coffee
95.4,26.68,55.02,30.01,91.09,6.58,30.86,muskmelon
22.69,132.21,195.66,21.55,94.36,6.24,99.19,apple
99.75,96.03,56.41,27.19,78.86,6.13,112.15,banana
91.2,48.23,24.29,25.07,55.94,5.55,96.44,maize
87.56,27.7,52.32,26.85,92.13,6.83,26.63,muskmelon
35.25,66.86,18.96,33.74,70.34,7.61,63.68,blackgram
39.34,140.85,206.39,23.77,93.99,5.96,112.3,apple
46.23,79.46,21.49,24.61,66.83,7.05,62.69,blackgram
6.99,45.6,24.9,24.26,51.82,6.29,32.37,mothbeans
113.6,18.3,51.35,27.43,81.64,6.71,44.75,watermelon
114.86,80.04,47.38,28.08,79.21,6.1,109.52,banana
117.61,19.76,55.11,25.76,88.6,6.24,49.68,watermelon
30.19,46.94,22.03,25.19,45.37,6.32,69.74,mothbeans
90.26,57.4,42.0,25.55,81.67,5.4,266.82,rice
20.95,16.71,35.58,25.29,97.27,6.36,147.83,coconut
37.57,18.66,26.27,28.78,49.64,6.34,90.0,mango
36.19,130.35,199.35,32.76,82.71,6.2,77.39,grapes
33.59,24.87,35.49,22.08,92.63,6.0,106.69,pomegranate
25.53,66.13,16.93,23.2,21.73,5.62,98.25,kidneybeans
16.87,138.0,204.26,36.83,80.1,5.83,60.85,grapes
63.94,45.44,37.49,23.86,78.62,6.5,189.96,jute
71.48,45.42,46.31,24.56,80.04,5.63,191.99,rice
122.77,52.2,19.21,24.72,78.89,7.71,90.03,cotton
43.44,43.93,14.39,28.7,86.88,7.15,52.13,mungbean
43.0,75.48,16.76,27.87,59.72,7.45,70.07,blackgram
3.67,71.73,18.88,21.93,24.63,6.0,139.27,kidneybeans
57.71,49.8,43.01,21.55,80.29,6.66,293.57,rice
29.49,128.24,196.6,27.34,81.03,5.56,63.7,grapes
25.19,141.06,207.42,24.47,92.49,5.85,100.6,apple
18.88,14.13,38.61,20.46,89.09,6.26,106.11,pomegranate
15.72,69.13,15.11,18.33,39.36,5.1,122.1,pigeonpeas
85.51,54.5,21.75,22.57,58.73,6.93,69.9,maize
64.84,33.48,25.15,19.61,75.13,6.73,74.67,maize
33.14,128.74,197.71,21.88,92.44,5.81,106.74,apple
27.92,69.41,16.83,33.69,34.17,5.91,174.7,pigeonpeas
31.17,33.23,24.87,28.32,97.0,5.56,210.91,coconut
18.32,77.81,17.9,27.61,31.07,5.49,191.1,pigeonpeas
64.14,52.8,46.61,30.76,91.27,6.91,179.37,papaya
65.79,63.21,47.02,41.54,91.6,6.93,164.65,papaya
49.87,62.56,79.7,18.36,19.6,7.23,98.19,chickpea
32.58,14.87,11.08,33.06,89.43,7.34,121.02,orange
95.85,42.17,47.54,25.57,85.18,5.21,230.65,rice
26.37,25.21,13.59,31.97,92.13,6.6,101.94,orange
31.1,71.72,15.3,21.9,68.9,6.7,51.42,lentil
34.39,25.27,32.03,31.24,44.48,5.05,94.02,mango
93.32,93.52,50.79,27.19,79.27,5.37,112.17,banana
92.16,91.62,47.46,27.57,76.76,5.89,121.08,banana
88.21,40.95,35.07,23.78,75.35,5.9,147.86,jute
28.06,133.32,198.41,28.79,81.1,6.56,68.18,grapes
43.41,47.66,51.86,24.81,93.51,6.64,110.62,papaya
35.43,136.23,203.42,20.17,97.0,5.89,102.43,apple
38.49,127.83,199.96,42.33,85.61,5.83,69.34,grapes
102.32,25.5,45.9,24.58,80.78,6.77,45.52,watermelon
112.67,39.11,26.24,23.29,84.31,5.93,91.85,cotton
36.77,73.49,18.36,21.69,19.46,5.83,135.28,kidneybeans
113.86,10.27,51.49,27.56,84.84,6.36,41.42,watermelon
11.13,59.04,22.96,26.51,48.82,6.02,153.65,pigeonpeas
33.11,66.74,16.87,21.18,65.6,6.53,51.94,lentil
96.09,21.36,47.55,31.43,93.25,6.62,19.79,muskmelon
80.05,87.53,55.07,25.16,75.32,6.12,104.55,banana
24.39,79.83,23.06,23.41,61.46,6.33,46.16,lentil
25.7,142.15,198.1,20.85,93.93,5.81,118.81,apple
14.56,68.79,17.84,20.94,19.96,5.97,149.36,kidneybeans
23.29,23.58,30.76,30.81,51.71,5.25,92.59,mango
61.64,36.33,17.45,24.81,64.37,6.69,81.48,maize
23.6,22.69,11.82,27.15,92.89,8.12,113.36,orange
24.76,17.2,31.4,34.59,54.54,6.11,95.12,mango
27.26,21.02,32.61,26.15,96.74,6.29,226.02,coconut
67.42,35.33,40.05,21.9,80.75,7.18,298.95,rice
26.78,24.6,9.53,11.34,95.24,6.43,105.46,orange
97.28,23.21,30.38,25.22,61.61,6.21,159.2,coffee
117.5,47.94,25.24,23.46,64.11,6.93,86.79,cotton
11.5,69.76,16.16,23.18,42.95,6.46,93.91,pigeonpeas
55.39,71.85,18.9,26.34,64.47,7.3,67.16,blackgram
100.22,22.49,50.79,29.95,92.37,5.99,18.92,muskmelon
11.42,43.4,17.92,29.22,78.61,7.01,59.21,mungbean
88.63,20.46,26.01,24.0,60.12,7.01,181.21,coffee
69.49,39.2,40.83,25.6,82.29,5.57,257.54,rice
107.1,27.46,56.23,27.43,95.96,6.61,22.72,muskmelon
55.17,51.03,45.46,22.87,90.91,7.12,81.96,papaya
53.14,61.75,53.54,23.02,91.83,6.77,60.68,papaya
34.71,40.03,14.87,28.64,88.9,7.27,39.9,mungbean
30.26,142.48,202.14,28.85,82.78,6.06,66.82,grapes
14.74,18.66,29.92,30.2,51.66,4.91,89.72,mango
20.5,41.91,18.34,29.12,88.6,7.29,40.98,mungbean
19.66,59.5,79.09,19.13,19.11,8.13,75.91,chickpea
74.08,47.14,17.7,23.68,61.08,5.71,103.39,maize
31.0,25.99,30.16,31.31,46.68,5.51,99.62,mango
23.83,19.76,37.54,23.52,85.9,5.87,108.34,pomegranate
38.28,11.8,31.14,25.13,91.88,5.85,136.71,coconut
11.09,14.83,22.72,31.3,46.29,5.57,87.07,mango
73.37,41.42,20.64,18.58,59.32,5.75,88.94,maize
32.15,30.85,25.05,28.58,94.72,6.44,177.73,coconut
39.83,44.24,18.29,29.13,60.5,6.51,44.19,mothbeans
110.38,82.2,43.96,27.98,81.29,6.43,118.23,banana
21.64,25.62,31.36,24.19,93.74,6.7,145.5,coconut
58.99,47.39,43.8,22.3,85.4,5.02,267.19,rice
32.26,74.78,19.04,18.91,65.39,5.34,94.12,pigeonpeas
82.52,27.74,29.11,26.29,49.39,6.14,173.61,coffee
24.01,56.32,78.02,21.14,19.47,7.32,85.94,chickpea
16.51,25.13,31.78,27.48,97.8,5.38,146.52,coconut
22.45,67.59,15.1,27.18,48.02,5.84,131.0,pigeonpeas
31.34,53.12,52.37,36.41,90.54,6.59,65.35,papaya
115.96,28.51,54.19,30.03,93.06,6.24,25.16,muskmelon
35.26,52.18,26.66,30.02,87.25,6.29,33.18,mungbean
72.49,59.8,40.24,26.44,85.88,6.02,294.62,rice
89.89,22.79,29.08,26.36,52.45,6.12,133.33,coffee
40.1,65.01,19.52,26.27,64.17,6.79,65.43,blackgram
18.56,24.87,36.64,18.5,91.62,7.22,101.96,pomegranate
8.68,142.49,196.62,23.58,95.42,5.95,119.18,apple
88.58,17.48,53.49,24.09,89.15,6.34,51.36,watermelon
58.66,83.28,86.1,18.48,19.77,7.02,69.37,chickpea
116.01,10.64,52.72,27.55,80.19,6.74,43.33,watermelon
103.45,71.9,46.01,28.35,82.16,5.8,102.65,banana
87.53,15.74,28.28,26.66,52.89,6.12,135.75,coffee
118.65,34.65,34.92,25.88,51.53,7.17,186.23,coffee
14.43,64.92,22.56,23.17,19.42,5.67,90.93,kidneybeans
21.08,54.04,23.99,28.78,45.78,7.16,42.75,mothbeans
93.01,28.79,46.7,28.74,86.78,7.03,48.13,watermelon
51.89,68.03,24.02,30.69,64.22,6.71,69.53,blackgram
99.85,91.04,43.18,28.0,80.55,5.82,114.69,banana
141.09,37.01,15.47,22.6,61.56,6.81,89.52,cotton
10.4,68.25,24.78,18.14,18.26,5.49,111.34,kidneybeans
95.52,54.28,19.44,24.82,62.19,6.29,62.27,maize
96.42,22.87,48.11,29.11,92.25,6.85,29.32,muskmelon
18.33,24.62,13.33,22.72,90.45,6.95,99.58,orange
32.85,26.71,40.4,25.38,94.25,6.5,103.01,pomegranate
95.21,36.29,22.11,24.31,68.36,6.73,74.95,maize
92.79,24.14,50.44,27.72,93.48,6.64,22.3,muskmelon
36.33,138.03,200.63,20.47,83.44,5.74,81.81,grapes
59.52,54.17,49.85,30.54,91.9,6.97,130.19,papaya
97.74,30.11,47.15,28.12,91.36,6.72,28.34,muskmelon
37.47,13.74,9.48,33.66,87.5,7.31,100.46,orange
103.27,28.36,52.37,29.67,91.21,6.21,26.89,muskmelon
100.81,61.26,44.61,24.05,79.56,6.99,162.65,jute
20.25,128.79,201.44,20.2,81.98,6.34,68.18,grapes
81.5,58.05,29.89,24.7,71.27,6.39,187.75,jute
66.85,55.79,33.47,24.05,75.68,7.09,178.51,jute
93.17,18.96,33.19,26.5,51.08,6.35,136.36,coffee
136.25,47.7,17.88,22.95,79.74,7.68,69.26,cotton
30.11,12.01,41.83,21.37,89.66,6.52,111.96,pomegranate
104.01,51.18,12.94,24.1,74.77,7.9,83.35,cotton
22.24,64.91,15.13,22.75,22.85,5.94,142.53,kidneybeans
16.69,9.82,20.38,25.63,90.92,6.92,116.39,orange
82.22,13.2,24.04,27.0,62.42,7.03,189.65,coffee
22.73,57.11,19.66,23.63,22.27,5.74,98.16,kidneybeans
16.5,120.31,196.95,22.55,85.06,5.49,68.37,grapes
24.73,144.81,204.69,34.21,84.75,5.54,72.5,grapes
26.02,64.13,82.57,20.28,17.36,5.94,80.64,chickpea
21.45,23.43,34.55,30.38,51.92,5.02,91.97,mango
20.65,18.58,42.06,19.63,89.7,5.77,106.93,pomegranate
28.66,70.4,51.07,28.2,94.14,6.79,95.77,papaya
22.27,72.27,18.22,16.84,22.45,5.85,111.46,kidneybeans
106.77,20.34,24.96,24.01,68.28,7.21,183.7,coffee
35.05,22.54,40.44,20.43,86.78,5.99,96.78,pomegranate
28.19,42.06,12.39,30.85,85.3,6.74,54.72,mungbean
48.83,67.01,50.18,38.56,90.28,7.2,40.37,papaya
31.35,68.87,19.6,24.44,21.57,5.42,112.54,kidneybeans
15.52,47.44,20.19,28.02,53.22,5.93,45.77,mothbeans
39.44,12.83,25.33,26.1,95.68,5.51,148.11,coconut
13.58,70.36,20.58,17.03,59.76,6.21,39.06,lentil
23.89,12.31,35.25,21.48,94.54,5.34,98.72,pomegranate
36.98,16.37,33.19,28.18,49.68,5.23,89.49,mango
21.4,64.91,26.49,25.57,66.27,5.94,47.1,lentil
59.29,80.01,19.28,33.86,64.4,7.03,69.56,blackgram
98.08,86.19,56.48,26.69,82.3,5.24,90.45,banana
114.46,19.12,53.02,24.83,82.33,6.94,50.2,watermelon
107.42,87.62,46.21,29.42,78.47,6.24,95.66,banana
95.73,24.39,53.44,25.79,86.28,6.55,46.8,watermelon
39.24,15.46,11.16,30.88,92.11,6.84,102.36,orange
93.67,53.0,20.27,19.13,65.65,6.1,89.71,maize
35.41,61.69,14.0,25.65,60.28,7.16,40.33,lentil
108.2,86.25,43.98,27.37,75.06,6.23,92.44,banana
22.15,58.92,21.98,16.43,25.93,5.81,135.3,kidneybeans
48.84,54.16,56.07,25.3,91.84,6.77,224.38,papaya
31.89,49.57,22.99,27.39,85.65,6.66,41.68,mungbean
28.13,19.72,33.11,25.56,98.53,6.11,178.36,coconut
135.01,53.37,20.31,25.3,80.06,7.12,76.54,cotton
15.78,20.99,39.94,21.8,87.07,6.67,101.23,pomegranate
35.21,54.3,48.66,38.53,89.53,6.71,90.61,papaya
81.13,49.37,15.53,27.74,65.86,6.12,91.28,maize
126.16,45.37,20.28,25.49,66.89,7.29,65.56,cotton
39.66,126.85,197.11,22.95,95.5,5.69,102.0,apple
10.09,120.67,201.26,24.67,80.38,6.0,64.62,grapes
118.71,17.39,23.13,26.87,59.13,6.15,121.04,coffee
91.47,30.01,25.68,25.73,68.13,6.53,167.23,coffee
84.96,23.09,51.85,23.91,87.94,6.69,46.97,watermelon
96.91,37.04,43.14,25.1,79.96,6.22,183.42,jute
28.8,74.42,21.69,28.83,63.51,6.95,68.57,blackgram
40.7,21.85,33.97,27.29,53.85,5.83,99.54,mango
103.13,42.34,19.93,22.39,70.69,7.3,68.87,cotton
78.22,51.18,34.92,21.67,81.13,5.6,244.05,rice
15.48,12.22,7.73,19.82,92.02,7.11,105.79,orange
32.31,138.84,199.88,12.7,80.8,6.03,71.63,grapes
48.3,66.91,22.42,32.51,68.82,7.09,70.45,blackgram
18.17,52.33,22.63,28.06,89.24,6.55,54.08,mungbean
115.35,16.34,52.7,24.34,90.62,6.17,52.06,watermelon
97.16,36.43,23.33,21.99,71.84,6.54,95.27,maize
31.94,54.51,20.31,30.11,60.93,7.32,46.13,lentil
8.31,72.33,17.68,24.94,22.84,5.72,75.05,kidneybeans
27.4,129.79,198.91,11.17,84.9,5.68,71.43,grapes
72.8,50.3,48.42,20.69,81.29,6.25,256.96,rice
21.06,21.26,12.1,18.09,94.5,6.22,109.88,orange
60.18,81.76,83.25,19.18,18.74,7.65,69.38,chickpea
24.76,131.81,203.41,29.32,83.12,6.54,67.8,grapes
118.09,12.33,52.01,30.29,93.05,6.67,16.92,muskmelon
35.22,144.06,205.06,23.85,95.66,6.1,111.85,apple
31.78,71.64,18.92,29.19,68.29,7.17,58.6,lentil
24.05,51.27,23.14,27.07,51.93,6.65,44.76,mothbeans
5.61,44.7,17.5,25.65,53.39,6.31,78.42,mothbeans
83.45,43.34,21.13,19.63,67.17,7.0,84.32,maize
36.7,71.59,80.8,19.74,16.31,6.65,73.83,chickpea
17.38,11.55,36.23,25.43,91.02,6.02,106.3,pomegranate
82.15,24.75,51.18,27.73,88.94,6.06,57.48,watermelon
38.39,27.98,10.25,15.64,93.12,6.16,115.04,orange
20.33,42.23,21.32,31.15,51.81,4.56,55.03,mothbeans
89.94,57.57,14.02,25.05,58.72,5.65,100.46,maize
18.36,59.6,15.97,33.37,42.49,5.61,106.18,pigeonpeas
21.35,30.07,37.69,21.15,92.96,6.2,111.09,pomegranate
41.35,77.78,19.67,31.33,67.88,4.99,138.23,pigeonpeas
40.59,138.87,202.0,37.92,81.08,6.11,66.24,grapes
12.49,37.52,22.46,27.83,58.93,4.09,67.86,mothbeans
10.18,52.91,19.46,22.38,21.02,5.53,95.13,kidneybeans
39.71,38.13,22.56,33.25,50.46,6.67,71.99,mothbeans
69.06,57.03,37.26,22.9,79.54,6.9,150.07,jute
13.88,141.81,198.4,23.06,93.99,5.59,99.1,apple
100.17,49.79,13.78,24.14,76.92,6.81,88.43,cotton
41.39,72.25,23.32,23.01,60.93,6.32,36.82,lentil
104.29,33.38,25.66,24.59,62.34,7.36,160.37,coffee
90.38,94.16,51.32,29.2,84.48,6.12,102.39,banana
32.71,139.51,197.78,27.67,81.97,6.44,70.37,grapes
20.71,57.0,24.09,29.54,86.26,7.37,37.17,mungbean
38.97,69.71,56.23,41.52,93.85,6.88,79.12,papaya
81.45,44.56,14.1,22.55,70.34,6.06,108.04,maize
100.5,20.38,27.01,23.97,51.54,6.92,152.64,coffee
119.49,25.17,56.2,23.6,90.46,6.88,56.52,watermelon
7.75,65.54,11.57,33.2,53.46,6.97,134.01,pigeonpeas
47.19,79.68,23.21,32.33,61.41,7.08,61.74,blackgram
29.75,60.75,17.07,28.1,83.52,6.58,50.12,mungbean
42.93,58.89,79.83,17.48,17.73,7.37,86.05,chickpea
23.27,63.95,20.78,36.09,38.65,6.57,151.91,pigeonpeas
96.09,54.12,44.38,26.16,84.74,6.85,258.44,rice
111.04,21.98,38.22,25.3,55.08,6.02,166.29,coffee
100.14,13.02,28.75,27.22,62.69,6.15,139.0,coffee
80.81,59.71,21.59,17.91,68.35,6.27,105.41,maize
21.68,14.79,11.98,12.07,92.06,6.41,112.13,orange
109.68,12.5,45.77,28.54,94.93,6.2,26.57,muskmelon
30.15,127.36,201.91,23.43,90.99,6.0,120.01,apple
68.26,63.46,44.43,29.44,90.04,6.93,109.56,papaya
58.45,74.36,29.22,33.48,64.54,7.45,68.08,blackgram
108.42,13.1,47.17,27.19,88.62,6.35,54.34,watermelon
24.03,70.8,81.28,18.43,17.15,7.0,77.11,chickpea
17.18,6.48,6.01,22.18,93.36,6.24,104.64,orange
26.91,22.91,38.83,18.64,86.24,5.6,118.8,pomegranate
37.73,51.78,56.07,24.32,93.71,6.94,217.28,papaya
40.86,141.25,200.58,23.16,94.78,5.59,111.1,apple
34.63,68.08,18.1,25.14,18.5,5.83,107.11,kidneybeans
28.41,68.71,23.43,24.77,19.47,5.77,144.81,kidneybeans
102.1,22.2,53.84,25.1,84.2,6.24,51.81,watermelon
80.75,41.09,44.57,24.25,74.53,6.87,155.56,jute
17.72,20.07,20.01,28.61,51.74,4.93,101.45,mango
31.69,19.45,44.13,23.01,92.41,5.64,107.81,pomegranate
57.93,81.15,18.19,30.08,63.61,7.55,77.84,blackgram
102.4,51.54,24.2,24.03,64.67,7.93,89.0,cotton
16.49,66.22,14.36,22.18,22.14,5.28,123.64,kidneybeans
19.16,20.41,25.29,25.94,94.38,6.1,157.46,coconut
60.12,46.11,43.49,21.39,81.06,5.39,192.88,rice
36.2,65.54,15.88,22.12,59.23,6.06,40.73,lentil
64.04,36.5,24.27,22.82,57.53,6.3,80.51,maize
31.81,65.62,81.53,18.81,13.17,6.04,83.64,chickpea
84.03,17.44,51.87,29.24,94.1,6.46,23.67,muskmelon
34.51,12.33,14.48,33.66,90.5,7.18,106.23,orange
24.26,22.02,39.76,22.96,97.08,6.75,103.27,pomegranate
62.67,71.41,76.09,19.81,17.95,6.84,81.41,chickpea
16.63,51.56,14.55,26.44,69.7,7.83,41.24,lentil
97.19,51.63,25.39,22.66,71.67,5.45,91.01,maize
18.04,65.57,15.81,19.56,23.52,5.81,68.03,kidneybeans
27.27,30.22,30.61,27.18,98.42,6.37,124.64,coconut
112.06,29.16,49.27,29.69,92.15,6.31,31.11,muskmelon
113.19,15.89,46.49,25.94,83.99,6.07,37.9,watermelon
31.11,37.88,19.46,28.28,47.92,4.46,70.92,mothbeans
94.78,58.28,24.68,23.14,75.38,6.2,87.11,maize
84.3,59.29,25.9,24.62,62.2,6.89,104.03,maize
16.16,53.67,16.24,26.54,63.72,7.11,68.1,mothbeans
33.77,65.31,78.56,21.02,15.97,6.6,74.76,chickpea
37.87,73.61,16.85,31.98,61.34,6.8,75.2,blackgram
89.12,51.82,35.66,25.18,87.89,6.56,173.98,jute
29.91,48.68,52.92,40.8,90.64,6.95,83.48,papaya
32.17,64.91,15.44,15.92,21.52,5.73,137.7,kidneybeans
104.36,26.27,44.29,28.8,91.37,6.25,26.57,muskmelon
26.45,27.22,12.99,11.4,92.46,7.18,98.61,orange
36.0,71.2,18.81,25.34,61.67,7.27,74.96,blackgram
15.15,76.41,18.04,25.68,72.19,8.09,37.73,lentil
61.22,40.7,16.27,19.53,58.3,5.77,89.13,maize
28.18,48.0,23.71,30.82,49.72,8.97,59.03,mothbeans
15.19,14.62,37.68,23.4,88.3,6.03,100.23,pomegranate
19.32,40.4,17.03,24.76,57.27,4.78,72.66,mothbeans
84.47,12.88,51.03,26.03,82.98,6.48,56.91,watermelon
100.43,21.91,51.73,27.43,82.43,6.93,52.99,watermelon
41.33,55.5,17.81,27.57,92.58,6.19,54.27,mungbean
70.38,59.68,45.98,20.77,82.53,5.07,241.6,rice
81.54,9.9,55.06,29.0,90.96,6.03,26.67,muskmelon
28.07,61.23,23.05,32.3,44.53,5.28,120.6,pigeonpeas
83.26,55.1,41.98,23.97,82.14,7.13,192.7,rice
113.86,33.33,26.29,24.87,55.97,6.71,157.9,coffee
33.35,57.17,19.28,28.05,42.72,5.2,45.51,mothbeans
30.02,76.25,82.86,20.5,18.32,6.4,92.77,chickpea
119.89,71.64,55.49,27.26,83.99,5.77,93.37,banana
6.8,57.99,20.07,22.98,59.39,4.9,75.01,mothbeans
45.93,67.51,79.84,18.12,15.78,7.78,82.02,chickpea
13.58,63.13,25.0,19.13,67.67,7.71,55.9,lentil
93.55,18.9,47.89,26.46,81.46,6.8,62.71,watermelon
26.48,20.87,35.78,31.24,49.21,6.23,99.62,mango
76.81,45.19,41.42,24.23,85.77,7.52,157.06,jute
48.65,51.35,48.83,31.5,93.39,6.76,157.07,papaya
22.18,74.27,16.76,28.42,65.23,7.17,51.69,lentil
46.56,55.91,53.7,41.71,91.29,6.83,222.73,papaya
103.73,23.42,46.5,27.13,83.07,6.84,51.23,watermelon
56.62,58.57,73.42,21.21,15.01,7.02,73.31,chickpea
34.98,52.96,19.63,27.81,83.46,6.8,43.55,mungbean
113.29,13.17,45.37,29.61,91.0,6.33,26.5,muskmelon
36.33,75.9,14.4,19.42,20.11,5.82,66.26,kidneybeans
37.48,52.3,17.31,29.48,86.51,7.24,61.53,mungbean
41.73,43.54,52.79,34.56,91.73,6.51,99.17,papaya
19.67,63.33,22.37,37.02,63.32,6.12,136.04,pigeonpeas
15.96,31.46,22.77,26.78,45.16,5.43,65.92,mothbeans
111.7,13.92,27.74,26.14,66.57,6.81,167.24,coffee
13.45,55.74,18.94,30.22,82.12,6.14,56.69,mungbean
98.28,31.06,47.46,25.04,86.92,6.39,59.92,watermelon
12.29,140.23,189.74,35.92,80.13,5.94,71.82,grapes
31.88,55.61,82.02,17.46,15.56,8.08,66.09,chickpea
84.68,26.87,48.78,27.36,89.61,6.9,42.67,watermelon
19.68,27.84,32.59,34.44,53.44,6.26,98.27,mango
29.76,17.03,16.62,27.54,92.9,6.18,107.97,orange
28.25,25.34,13.04,17.75,95.32,6.79,116.77,orange
102.56,51.06,36.27,25.45,84.64,5.38,284.56,rice
77.51,52.98,36.06,22.21,81.08,7.21,287.56,rice
14.45,133.95,202.7,28.72,82.59,5.88,64.45,grapes
62.5,39.81,19.25,19.13,68.17,5.53,98.64,maize
27.24,46.02,16.21,29.51,57.19,8.48,53.56,mothbeans
22.43,70.56,23.68,23.13,67.13,6.84,43.03,lentil
103.61,41.18,17.28,24.52,75.16,7.84,85.7,cotton
93.79,47.07,39.28,24.54,84.66,5.54,289.39,rice
24.29,131.81,204.79,22.49,90.79,5.31,111.05,apple
32.43,15.1,15.52,21.26,93.15,7.15,110.12,orange
21.54,125.41,202.41,38.24,82.51,5.28,68.67,grapes
38.28,68.27,17.46,23.85,54.36,5.56,189.62,pigeonpeas
31.74,16.38,25.95,29.14,96.91,5.54,207.77,coconut
111.02,18.59,23.71,27.55,49.35,6.68,186.05,coffee
37.03,11.68,11.2,33.48,91.43,6.26,108.62,orange
38.24,12.04,11.14,10.46,94.07,7.25,101.18,orange
33.19,73.21,17.27,20.56,24.08,5.92,68.33,kidneybeans
133.29,47.9,16.42,22.96,69.75,6.6,86.61,cotton
109.51,12.33,44.42,26.28,87.17,6.86,40.81,watermelon
99.79,92.15,47.35,27.66,83.94,6.19,108.61,banana
88.9,72.7,50.85,27.36,76.25,5.89,89.27,banana
85.03,20.54,46.32,29.82,91.47,6.23,22.14,muskmelon
28.49,24.01,7.57,10.52,89.9,7.32,112.09,orange
25.91,120.94,202.3,16.74,82.77,6.19,76.41,grapes
14.43,51.89,21.05,30.3,79.24,7.13,39.74,mungbean
38.98,76.6,15.34,17.36,20.02,5.42,90.91,kidneybeans
20.24,135.87,196.31,20.14,81.52,5.93,71.96,grapes
83.24,40.46,41.54,23.05,84.23,5.0,278.84,rice
96.7,58.32,38.56,28.05,80.19,6.64,236.22,rice
58.03,58.56,42.04,34.55,95.76,7.01,158.11,papaya
20.07,40.74,16.68,27.22,52.56,7.92,71.72,mothbeans
51.55,70.37,22.99,33.37,60.89,7.45,68.28,blackgram
93.51,31.99,47.46,22.19,83.86,6.86,223.48,rice
37.97,40.51,14.92,29.86,87.64,6.37,49.88,mungbean
14.32,78.51,22.81,19.52,16.44,5.51,120.16,kidneybeans
34.73,70.15,23.39,26.53,64.08,7.61,74.11,blackgram
9.47,55.75,22.34,28.16,79.65,6.64,42.31,mungbean
97.75,57.84,44.31,22.91,80.9,5.76,208.04,rice
22.5,69.26,14.86,22.41,62.91,7.39,49.74,lentil
102.6,74.36,47.42,27.19,83.91,6.15,114.85,banana
21.35,60.6,20.74,22.14,18.46,6.28,91.2,kidneybeans
96.08,46.13,35.61,25.59,81.51,5.72,222.61,rice
54.6,45.62,50.38,36.77,94.69,6.52,191.77,papaya
72.89,35.3,17.03,21.91,72.48,6.57,80.46,maize
32.23,56.01,23.28,15.11,23.79,5.72,149.74,kidneybeans
94.01,73.94,50.55,28.04,84.96,5.65,109.63,banana
22.36,61.74,73.24,20.22,16.63,8.71,67.03,chickpea
41.15,60.42,76.53,17.66,20.31,8.34,91.82,chickpea
16.53,18.81,24.64,27.08,47.31,6.07,89.23,mango
82.45,24.13,52.41,30.89,91.31,6.52,21.91,muskmelon
